id,HR,HR.95L,HR.95H,pvalue
VEGFA|SHANK2,5.238613577,3.556509764,7.716293229,5.24E-17
CASP9|PSMB10,0.247527527,0.17856788,0.34311813,5.29E-17
HSPB1|LAMP2,4.274502299,3.043119925,6.004157034,5.32E-17
KCNK3|PLAT,0.150859857,0.096923846,0.234810083,5.34E-17
COL1A2|PSMD6,3.966475353,2.873612654,5.474964313,5.34E-17
TOP2A|SNAP25,3.613326396,2.675112309,4.880590472,5.52E-17
TNFRSF11B|TOP3B,5.07379856,3.4693976,7.420144589,5.55E-17
HMOX1|MAPK8IP1,4.669447316,3.255523037,6.697460895,5.57E-17
F2R|GCLC,4.075395363,2.933172877,5.662416796,5.62E-17
KCNK3|IGFBP2,0.156147879,0.101090809,0.241190672,5.72E-17
CHAF1B|PDIA2,4.510120224,3.169270327,6.418254783,5.87E-17
TREM1|NOD1,4.568285433,3.200476922,6.520663111,5.89E-17
ABCC3|PKP4,4.244964504,3.02544879,5.956049793,5.93E-17
KCNK3|OXTR,0.238506731,0.170478681,0.333680788,5.94E-17
CASP3|SHANK2,5.781402622,3.832155353,8.722145423,6.11E-17
HSPB1|TNR,4.863461986,3.356713748,7.046553347,6.22E-17
IGFBP2|COL4A1,3.729749874,2.739441178,5.07805542,6.24E-17
ACTN1|FYN,4.065796382,2.926128764,5.649341347,6.40E-17
PSMB10|GRIK2,3.76647515,2.759553119,5.140808836,6.51E-17
ADCYAP1R1|BIRC5,0.255308945,0.185309993,0.351749284,6.79E-17
ABCC3|RIN2,4.406552259,3.111134126,6.241358303,6.80E-17
LGALS3|S100PBP,4.024372952,2.90242441,5.580017038,6.82E-17
BID|ADORA1,0.267195238,0.196005259,0.364241734,6.91E-17
S100A9|NXPH3,3.710987517,2.726936879,5.050145627,7.35E-17
MAPT|PSMD3,0.215419097,0.15018417,0.308989873,7.35E-17
PRKCB|PSMB8,0.23618164,0.168250807,0.331539373,7.42E-17
RRM1|CHI3L2,0.278019236,0.205786797,0.375605708,7.47E-17
MELK|GRIK2,4.378931543,3.094639401,6.196211892,7.54E-17
CASP3|ATG7,3.605517903,2.667097947,4.874121464,7.58E-17
DIRAS3|CYP2E1,4.940731128,3.393680389,7.193023878,7.67E-17
TOP3B|BRCA1,0.282356276,0.209728856,0.38013399,7.73E-17
TNR|ITGB4,0.220923773,0.154897342,0.315094584,7.74E-17
FGF13|MSR1,0.193247014,0.131286656,0.284449385,7.82E-17
ALDH3B1|GADD45G,3.829305974,2.792377775,5.251289557,7.85E-17
CD4|ABCC3,0.225462304,0.158820374,0.320067566,7.91E-17
BMPR1A|COL1A2,0.199429843,0.136468939,0.291438202,8.10E-17
LEF1|FGF13,3.932745474,2.849392903,5.427993783,8.16E-17
MAPK8IP1|S100A11,0.211664158,0.146878189,0.305026335,8.16E-17
MAPT|RPA1,0.204442158,0.140712062,0.297036342,8.17E-17
CHI3L2|HDAC1,3.57055761,2.646442879,4.817365133,8.17E-17
CTSZ|TNR,4.154855623,2.971612859,5.809244363,8.18E-17
VEGFA|ATG7,4.014645655,2.894484867,5.568306789,8.26E-17
DLC1|ABCC3,0.253745818,0.183738208,0.350427604,8.33E-17
PIK3R3|TOP2A,0.263011188,0.192058832,0.360175495,8.36E-17
MAPT|COL1A1,0.225182748,0.158496993,0.319925755,8.75E-17
UROS|HIST2H2BE,0.27678083,0.204511003,0.374589272,8.81E-17
CHI3L2|PLIN3,3.557991427,2.638336065,4.798214741,8.92E-17
PTPN6|ERCC5,4.094434428,2.937057354,5.707887612,9.08E-17
TNFRSF11B|DHRS2,4.249094493,3.021463917,5.975515347,9.09E-17
PCSK1|ABCC3,0.268785972,0.197205445,0.366348397,9.13E-17
CASP9|GNL3L,0.280087927,0.207499658,0.378069282,9.16E-17
NFIL3|MSR1,0.278028004,0.205597363,0.375975498,9.35E-17
