ID,group1,group2,batch
CGGA_D40,CGGA325,CGGA325,1
CGGA_D45,CGGA325,CGGA325,1
CGGA_D46,CGGA325,CGGA325,1
CGGA_D47,CGGA325,CGGA325,1
CGGA_D48,CGGA325,CGGA325,1
CGGA_D52,CGGA325,CGGA325,1
CGGA_D56,CGGA325,CGGA325,1
CGGA_D59,CGGA325,CGGA325,1
CGGA_277,CGGA325,CGGA325,1
CGGA_518,CGGA325,CGGA325,1
CGGA_J023,CGGA325,CGGA325,1
CGGA_J024,CGGA325,CGGA325,1
CGGA_J042,CGGA325,CGGA325,1
CGGA_J100,CGGA325,CGGA325,1
CGGA_1004,CGGA325,CGGA325,1
CGGA_1008,CGGA325,CGGA325,1
CGGA_1053,CGGA325,CGGA325,1
CGGA_1059,CGGA325,CGGA325,1
CGGA_1070,CGGA325,CGGA325,1
CGGA_1071,CGGA325,CGGA325,1
CGGA_1073,CGGA325,CGGA325,1
CGGA_1074,CGGA325,CGGA325,1
CGGA_1095,CGGA325,CGGA325,1
CGGA_1099,CGGA325,CGGA325,1
CGGA_1114,CGGA325,CGGA325,1
CGGA_1116,CGGA325,CGGA325,1
CGGA_1118,CGGA325,CGGA325,1
CGGA_1119,CGGA325,CGGA325,1
CGGA_1197,CGGA325,CGGA325,1
CGGA_1246,CGGA325,CGGA325,1
CGGA_1275,CGGA325,CGGA325,1
CGGA_1450,CGGA325,CGGA325,1
CGGA_1460,CGGA325,CGGA325,1
CGGA_1475,CGGA325,CGGA325,1
CGGA_243,CGGA325,CGGA325,1
CGGA_247,CGGA325,CGGA325,1
CGGA_738,CGGA325,CGGA325,1
CGGA_759,CGGA325,CGGA325,1
CGGA_D30,CGGA325,CGGA325,1
CGGA_11,CGGA301,CGGA301,2
CGGA_124,CGGA301,CGGA301,2
CGGA_126,CGGA301,CGGA301,2
CGGA_168,CGGA301,CGGA301,2
CGGA_172,CGGA301,CGGA301,2
CGGA_195,CGGA301,CGGA301,2
CGGA_203,CGGA301,CGGA301,2
CGGA_221,CGGA301,CGGA301,2
CGGA_225,CGGA301,CGGA301,2
CGGA_240,CGGA301,CGGA301,2
CGGA_287,CGGA301,CGGA301,2
CGGA_292,CGGA301,CGGA301,2
CGGA_370,CGGA301,CGGA301,2
CGGA_373,CGGA301,CGGA301,2
CGGA_375,CGGA301,CGGA301,2
CGGA_377,CGGA301,CGGA301,2
CGGA_380,CGGA301,CGGA301,2
CGGA_404,CGGA301,CGGA301,2
CGGA_419,CGGA301,CGGA301,2
CGGA_437,CGGA301,CGGA301,2
CGGA_439,CGGA301,CGGA301,2
CGGA_442,CGGA301,CGGA301,2
CGGA_444,CGGA301,CGGA301,2
CGGA_451,CGGA301,CGGA301,2
CGGA_454,CGGA301,CGGA301,2
CGGA_512,CGGA301,CGGA301,2
CGGA_527,CGGA301,CGGA301,2
CGGA_547,CGGA301,CGGA301,2
CGGA_549,CGGA301,CGGA301,2
CGGA_557,CGGA301,CGGA301,2
CGGA_570,CGGA301,CGGA301,2
CGGA_573,CGGA301,CGGA301,2
CGGA_575,CGGA301,CGGA301,2
CGGA_588,CGGA301,CGGA301,2
CGGA_593,CGGA301,CGGA301,2
CGGA_594,CGGA301,CGGA301,2
CGGA_597,CGGA301,CGGA301,2
CGGA_606,CGGA301,CGGA301,2
CGGA_609,CGGA301,CGGA301,2
CGGA_612,CGGA301,CGGA301,2
CGGA_640,CGGA301,CGGA301,2
CGGA_646,CGGA301,CGGA301,2
CGGA_649,CGGA301,CGGA301,2
CGGA_654,CGGA301,CGGA301,2
CGGA_664,CGGA301,CGGA301,2
CGGA_683,CGGA301,CGGA301,2
CGGA_684,CGGA301,CGGA301,2
CGGA_686,CGGA301,CGGA301,2
CGGA_693,CGGA301,CGGA301,2
CGGA_699,CGGA301,CGGA301,2
CGGA_709,CGGA301,CGGA301,2
CGGA_713,CGGA301,CGGA301,2
CGGA_714,CGGA301,CGGA301,2
CGGA_729,CGGA301,CGGA301,2
CGGA_741,CGGA301,CGGA301,2
CGGA_764,CGGA301,CGGA301,2
CGGA_775,CGGA301,CGGA301,2
CGGA_778,CGGA301,CGGA301,2
CGGA_907,CGGA301,CGGA301,2
CGGA_253,CGGA301,CGGA301,2
CGGA_258,CGGA301,CGGA301,2
CGGA_271,CGGA301,CGGA301,2
CGGA_281,CGGA301,CGGA301,2
CGGA_285,CGGA301,CGGA301,2
CGGA_316,CGGA301,CGGA301,2
CGGA_317,CGGA301,CGGA301,2
CGGA_321,CGGA301,CGGA301,2
CGGA_357,CGGA301,CGGA301,2
CGGA_365,CGGA301,CGGA301,2
CGGA_379,CGGA301,CGGA301,2
CGGA_396,CGGA301,CGGA301,2
CGGA_399,CGGA301,CGGA301,2
CGGA_402,CGGA301,CGGA301,2
CGGA_407,CGGA301,CGGA301,2
CGGA_433,CGGA301,CGGA301,2
CGGA_434,CGGA301,CGGA301,2
CGGA_441,CGGA301,CGGA301,2
CGGA_447,CGGA301,CGGA301,2
CGGA_459,CGGA301,CGGA301,2
CGGA_461,CGGA301,CGGA301,2
CGGA_469,CGGA301,CGGA301,2
CGGA_505,CGGA301,CGGA301,2
CGGA_522,CGGA301,CGGA301,2
CGGA_542,CGGA301,CGGA301,2
CGGA_544,CGGA301,CGGA301,2
CGGA_548,CGGA301,CGGA301,2
CGGA_552,CGGA301,CGGA301,2
CGGA_566,CGGA301,CGGA301,2
CGGA_571,CGGA301,CGGA301,2
CGGA_583,CGGA301,CGGA301,2
CGGA_590,CGGA301,CGGA301,2
CGGA_592,CGGA301,CGGA301,2
CGGA_595,CGGA301,CGGA301,2
CGGA_626,CGGA301,CGGA301,2
CGGA_648,CGGA301,CGGA301,2
CGGA_663,CGGA301,CGGA301,2
CGGA_673,CGGA301,CGGA301,2
CGGA_688,CGGA301,CGGA301,2
CGGA_692,CGGA301,CGGA301,2
CGGA_708,CGGA301,CGGA301,2
CGGA_711,CGGA301,CGGA301,2
CGGA_712,CGGA301,CGGA301,2
CGGA_718,CGGA301,CGGA301,2
CGGA_736,CGGA301,CGGA301,2
CGGA_743,CGGA301,CGGA301,2
CGGA_746,CGGA301,CGGA301,2
CGGA_753,CGGA301,CGGA301,2
CGGA_767,CGGA301,CGGA301,2
CGGA_770,CGGA301,CGGA301,2
